repo,lists
YatSenOS/YatSenOS-Tutorial-Volume-1,C / C++;软技能 / 职业
GitHubDaily/GitHubDaily,Go / 后端;算法;云原生 / DevOps;工具 / 效率;软技能 / 职业
istio/istio,Go / 后端;云原生 / DevOps
jeffgerickson/algorithms,算法;软技能 / 职业
envoyproxy/envoy,C / C++;云原生 / DevOps
etcd-io/etcd,Go / 后端;分布式 / 系统设计;云原生 / DevOps
linkedin/school-of-sre,分布式 / 系统设计;云原生 / DevOps
prabhuignoto/react-chrono,工具 / 效率
r0eXpeR/Online_Tools,UNCATEGORIZED
RedSpider1/concurrent,UNCATEGORIZED
jbranchaud/til,UNCATEGORIZED
kovacsv/Online3DViewer,UNCATEGORIZED
kunal-kushwaha/DSA-Bootcamp-Java,算法;面试 / 八股
holynova/gushi_namer,工具 / 效率
graviraja/MLOps-Basics,LLM 基础
swaroopch/byte-of-vim,软技能 / 职业
nikivdev/code,AI / Agent;Rust
andrews1022/web-development-course-list,UNCATEGORIZED
wangdoc/bash-tutorial,软技能 / 职业
talkgo/night,Go / 后端
0voice/Introduction-to-Golang,Go / 后端;云原生 / DevOps
common-nighthawk/go-figure,Go / 后端
fengyuhetao/shell,UNCATEGORIZED
p4gefau1t/trojan-go,Go / 后端;工具 / 效率
nezhahq/nezha,Go / 后端;云原生 / DevOps;工具 / 效率
shadow1ng/fscan,Go / 后端;工具 / 效率
didi/sharingan,Go / 后端
iovxw/rssbot,Rust
chxuan/vimplus,云原生 / DevOps
AliyunContainerService/terway,Go / 后端;云原生 / DevOps
flannel-io/flannel,Go / 后端;云原生 / DevOps
evrone/go-clean-template,Go / 后端;工具 / 效率
EndlessCheng/mahjong-helper,Go / 后端;算法
EndlessCheng/codeforces-go,Go / 后端;算法
exadel-inc/CompreFace,云原生 / DevOps
eastlakeside/awesome-productivity-cn,工具 / 效率
yunlzheng/prometheus-book,云原生 / DevOps;软技能 / 职业
ouqiang/gocron,Go / 后端
hwholiday/learning_tools,Go / 后端;分布式 / 系统设计;云原生 / DevOps
golang-design/under-the-hood,Go / 后端
link1st/gowebsocket,Go / 后端;分布式 / 系统设计;云原生 / DevOps
labring/sealos,Go / 后端;分布式 / 系统设计;云原生 / DevOps
KubeOperator/KubeOperator,Go / 后端;云原生 / DevOps
go101/go101,Go / 后端;软技能 / 职业
apache/jmeter,工具 / 效率
kolypto/j2cli,工具 / 效率
spaceship-prompt/spaceship-prompt,UNCATEGORIZED
dracula/dracula-theme,UNCATEGORIZED
harness/harness,Go / 后端;云原生 / DevOps
hashicorp/packer,Go / 后端;工具 / 效率
traefik/traefik,Go / 后端;分布式 / 系统设计;云原生 / DevOps
hajimehoshi/ebiten,Go / 后端
disintegration/imaging,Go / 后端
greyireland/algorithm-pattern,Go / 后端;算法;面试 / 八股
chanify/chanify,Go / 后端;云原生 / DevOps
cube2222/jql,Go / 后端
laixintao/python-parallel-programming-cookbook-cn,软技能 / 职业
docker/awesome-compose,云原生 / DevOps;工具 / 效率
rosedblabs/rosedb,Go / 后端;分布式 / 系统设计;算法
fenixsoft/awesome-fenix,Go / 后端;分布式 / 系统设计;云原生 / DevOps;工具 / 效率
captn3m0/google-sre-ebook,软技能 / 职业
Jeffail/tunny,Go / 后端
chefyuan/algorithm-base,算法;面试 / 八股
OAID/Tengine,LLM 基础;C / C++;云原生 / DevOps
SSHeRun/CS-Xmind-Note,算法;C / C++
Mrs4s/go-cqhttp,Go / 后端
esrrhs/pingtunnel,Go / 后端;云原生 / DevOps;工具 / 效率
xiaobaiTech/golangFamily,LLM 基础;Go / 后端;分布式 / 系统设计;算法;面试 / 八股;C / C++;软技能 / 职业
sjqzhang/go-fastdfs,Go / 后端;分布式 / 系统设计;面试 / 八股
golang-jwt/jwt,Go / 后端
gourouting/singo,Go / 后端;分布式 / 系统设计
wzcu/interview-comment,Go / 后端;分布式 / 系统设计;算法;面试 / 八股
swaggo/gin-swagger,Go / 后端;分布式 / 系统设计
marusama/semaphore,Go / 后端
thanos-io/thanos,Go / 后端;分布式 / 系统设计;云原生 / DevOps
remram44/regex-cheatsheet,UNCATEGORIZED
douchuan/algorithm,算法;面试 / 八股;Rust
sger/RustBooks,Rust;软技能 / 职业
rust-unofficial/patterns,Rust;软技能 / 职业
mre/idiomatic-rust,Rust
studygolang/gophers,Go / 后端
golang/mock,Go / 后端
apache/rocketmq-client-go,Go / 后端
rust-lang/rust,Rust
TheAlgorithms/Rust,算法;Rust
rfyiamcool/share_ppt,Go / 后端;分布式 / 系统设计;云原生 / DevOps
